#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
50,9034.71,1.79836e+06,9034.71,9034.71
50,3899.26,383119,7798.52,15597
50,1526.15,89481.5,4578.45,13735.3
50,561.628,24801.7,2246.51,8986.05
50,146.587,2835.59,732.934,3664.67
0,0,0,0,0
